date,total_calls,avg_duration_seconds,unique_languages,docket_count,calls_growth_percent,duration_growth_percent,language_growth_percent,docket_growth_percent
2025-06-30,13,128,5,75,-13,-7,-17,-25
2025-06-29,15,137,6,100,15,7,20,33
2025-06-28,13,128,5,75,-13,-7,-17,-25
2025-06-27,15,137,6,100,15,7,20,33
2025-06-26,13,128,5,75,-13,-7,-17,-25
2025-06-25,15,137,6,100,15,7,20,33
2025-06-24,13,128,5,75,-13,-7,-17,-25
2025-06-23,15,137,6,100,15,7,20,33
2025-06-22,13,128,5,75,-13,-7,-17,-25
2025-06-21,15,137,6,100,15,7,20,33
2025-05-31,12,125,5,70,-20,-12,-17,-30
2025-05-30,15,142,6,100,25,14,20,43
2025-05-29,12,125,5,70,-20,-12,-17,-30
2025-05-28,15,142,6,100,25,14,20,43
2025-05-27,12,125,5,70,-20,-12,-17,-30
2025-05-26,15,142,6,100,25,14,20,43
2025-05-25,12,125,5,70,-20,-12,-17,-30
2025-05-24,15,142,6,100,25,14,20,43
2025-05-23,12,125,5,70,-20,-12,-17,-30
2025-05-22,15,142,6,100,25,14,20,43
2025-04-30,11,122,4,65,-27,-18,-33,-35
2025-04-29,15,149,6,100,36,22,50,54
2025-04-28,11,122,4,65,-27,-18,-33,-35
2025-04-27,15,149,6,100,36,22,50,54
2025-04-26,11,122,4,65,-27,-18,-33,-35
2025-04-25,15,149,6,100,36,22,50,54
2025-04-24,11,122,4,65,-27,-18,-33,-35
2025-04-23,15,149,6,100,36,22,50,54
2025-04-22,11,122,4,65,-27,-18,-33,-35
2025-04-21,15,149,6,100,36,22,50,54
2025-03-31,10,119,4,60,-33,-23,-33,-40
2025-03-30,15,154,6,100,50,29,50,67
2025-03-29,10,119,4,60,-33,-23,-33,-40
2025-03-28,15,154,6,100,50,29,50,67
2025-03-27,10,119,4,60,-33,-23,-33,-40
2025-03-26,15,154,6,100,50,29,50,67
2025-03-25,10,119,4,60,-33,-23,-33,-40
2025-03-24,15,154,6,100,50,29,50,67
2025-03-23,10,119,4,60,-33,-23,-33,-40
2025-03-22,15,154,6,100,50,29,50,67
2025-02-28,9,116,4,55,-40,-29,-33,-45
2025-02-27,15,159,6,100,67,37,50,82
2025-02-26,9,116,4,55,-40,-29,-33,-45
2025-02-25,15,159,6,100,67,37,50,82
2025-02-24,9,116,4,55,-40,-29,-33,-45
2025-02-23,15,159,6,100,67,37,50,82
2025-02-22,9,116,4,55,-40,-29,-33,-45
2025-02-21,15,159,6,100,67,37,50,82
2025-02-20,9,116,4,55,-40,-29,-33,-45
2025-02-19,15,159,6,100,67,37,50,82
2025-01-31,8,113,3,50,-47,-35,-50,-50
2025-01-30,15,164,6,100,88,45,100,100
2025-01-29,8,113,3,50,-47,-35,-50,-50
2025-01-28,15,164,6,100,88,45,100,100
2025-01-27,8,113,3,50,-47,-35,-50,-50
2025-01-26,15,164,6,100,88,45,100,100
2025-01-25,8,113,3,50,-47,-35,-50,-50
2025-01-24,15,164,6,100,88,45,100,100
2025-01-23,8,113,3,50,-47,-35,-50,-50
2025-01-22,15,164,6,100,88,45,100,100
2025-01-21,8,113,3,50,-47,-35,-50,-50
2025-01-20,15,164,6,100,88,45,100,100
2025-01-19,8,113,3,50,-47,-35,-50,-50
2025-01-18,15,164,6,100,88,45,100,100
2025-01-17,8,113,3,50,-47,-35,-50,-50
2025-01-16,15,164,6,100,88,45,100,100
2025-01-15,8,113,3,50,-47,-35,-50,-50
2025-01-14,15,164,6,100,88,45,100,100
2025-01-13,8,113,3,50,-47,-35,-50,-50
2025-01-12,15,164,6,100,88,45,100,100
2025-01-11,8,113,3,50,-47,-35,-50,-50
2025-01-10,15,164,6,100,88,45,100,100
2025-01-09,8,113,3,50,-47,-35,-50,-50
2025-01-08,15,164,6,100,88,45,100,100
2025-01-07,8,113,3,50,-47,-35,-50,-50
2025-01-06,15,164,6,100,88,45,100,100
2025-01-05,8,113,3,50,-47,-35,-50,-50
2025-01-04,15,164,6,100,88,45,100,100
2025-01-03,8,113,3,50,-47,-35,-50,-50
2025-01-02,15,164,6,100,88,45,100,100
2025-01-01,8,113,3,50,0,0,0,0
