date,language,call_count,percentage
2025-08-23,Telugu,2,13.3
2025-08-23,Marathi,2,13.3
2025-08-23,Tamil,2,13.3
2025-08-23,Urdu,3,20.0
2025-08-22,Hindi,3,21.4
2025-08-22,Bengali,2,14.3
2025-08-22,Telugu,2,14.3
2025-08-22,Marathi,3,21.4
2025-08-22,Tamil,2,14.3
2025-08-22,Urdu,2,14.3
2025-08-21,Hindi,3,20.0
2025-08-21,Bengali,3,20.0
2025-08-21,Telugu,2,13.3
2025-08-21,Marathi,2,13.3
2025-08-21,Tamil,2,13.3
2025-08-21,Urdu,3,20.0
2025-08-20,Hindi,3,21.4
2025-08-20,Bengali,2,14.3
2025-08-20,Telugu,2,14.3
2025-08-20,Marathi,3,21.4
2025-08-20,Tamil,2,14.3
2025-08-20,Urdu,2,14.3
2025-08-19,Hindi,3,20.0
2025-08-19,Bengali,3,20.0
2025-08-19,Telugu,2,13.3
2025-08-19,Marathi,2,13.3
2025-08-19,Tamil,2,13.3
2025-08-19,Urdu,3,20.0
2025-08-18,Hindi,3,21.4
2025-08-18,Bengali,2,14.3
2025-08-18,Telugu,2,14.3
2025-08-18,Marathi,3,21.4
2025-08-18,Tamil,2,14.3
2025-08-18,Urdu,2,14.3
2025-08-17,Hindi,3,20.0
2025-08-17,Bengali,3,20.0
2025-08-17,Telugu,2,13.3
2025-08-17,Marathi,2,13.3
2025-08-17,Tamil,2,13.3
2025-08-17,Urdu,3,20.0
2025-08-16,Hindi,3,21.4
2025-08-16,Bengali,2,14.3
2025-08-16,Telugu,2,14.3
2025-08-16,Marathi,3,21.4
2025-08-16,Tamil,2,14.3
2025-08-16,Urdu,2,14.3
2025-08-15,Hindi,3,20.0
2025-08-15,Bengali,3,20.0
2025-08-15,Telugu,2,13.3
2025-08-15,Marathi,2,13.3
2025-08-15,Tamil,2,13.3
2025-08-15,Urdu,3,20.0
2025-08-14,Hindi,3,21.4
2025-08-14,Bengali,2,14.3
2025-08-14,Telugu,2,14.3
2025-08-14,Marathi,3,21.4
2025-08-14,Tamil,2,14.3
2025-08-14,Urdu,2,14.3
2025-08-13,Hindi,3,20.0
2025-08-13,Bengali,3,20.0
2025-08-13,Telugu,2,13.3
2025-08-13,Marathi,2,13.3
2025-08-13,Tamil,2,13.3
2025-08-13,Urdu,3,20.0
2025-08-12,Hindi,3,21.4
2025-08-12,Bengali,2,14.3
2025-08-12,Telugu,2,14.3
2025-08-12,Marathi,3,21.4
2025-08-12,Tamil,2,14.3
2025-08-12,Urdu,2,14.3
2025-08-11,Hindi,3,20.0
2025-08-11,Bengali,3,20.0
2025-08-11,Telugu,2,13.3
2025-08-11,Marathi,2,13.3
2025-08-11,Tamil,2,13.3
2025-08-11,Urdu,3,20.0
2025-08-10,Hindi,3,21.4
2025-08-10,Bengali,2,14.3
2025-08-10,Telugu,2,14.3
2025-08-10,Marathi,3,21.4
2025-08-10,Tamil,2,14.3
2025-08-10,Urdu,2,14.3
2025-08-09,Hindi,3,20.0
2025-08-09,Bengali,3,20.0
2025-08-09,Telugu,2,13.3
2025-08-09,Marathi,2,13.3
2025-08-09,Tamil,2,13.3
2025-08-09,Urdu,3,20.0
2025-08-08,Hindi,3,21.4
2025-08-08,Bengali,2,14.3
2025-08-08,Telugu,2,14.3
2025-08-08,Marathi,3,21.4
2025-08-08,Tamil,2,14.3
2025-08-08,Urdu,2,14.3
2025-08-07,Hindi,3,20.0
2025-08-07,Bengali,3,20.0
2025-08-07,Telugu,2,13.3
2025-08-07,Marathi,2,13.3
2025-08-07,Tamil,2,13.3
2025-08-07,Urdu,3,20.0
2025-08-06,Hindi,3,21.4
2025-08-06,Bengali,2,14.3
2025-08-06,Telugu,2,14.3
2025-08-06,Marathi,3,21.4
2025-08-06,Tamil,2,14.3
2025-08-06,Urdu,2,14.3
2025-08-05,Hindi,3,20.0
2025-08-05,Bengali,3,20.0
2025-08-05,Telugu,2,13.3
2025-08-05,Marathi,2,13.3
2025-08-05,Tamil,2,13.3
2025-08-05,Urdu,3,20.0
2025-08-04,Hindi,3,21.4
2025-08-04,Bengali,2,14.3
2025-08-04,Telugu,2,14.3
2025-08-04,Marathi,3,21.4
2025-08-04,Tamil,2,14.3
2025-08-04,Urdu,2,14.3
2025-08-03,Hindi,3,20.0
2025-08-03,Bengali,3,20.0
2025-08-03,Telugu,2,13.3
2025-08-03,Marathi,2,13.3
2025-08-03,Tamil,2,13.3
2025-08-03,Urdu,3,20.0
2025-08-02,Hindi,3,21.4
2025-08-02,Bengali,2,14.3
2025-08-02,Telugu,2,14.3
2025-08-02,Marathi,3,21.4
2025-08-02,Tamil,2,14.3
2025-08-02,Urdu,2,14.3
2025-08-01,Hindi,3,20.0
2025-08-01,Bengali,3,20.0
2025-08-01,Telugu,2,13.3
2025-08-01,Marathi,2,13.3
2025-08-01,Tamil,2,13.3
2025-08-01,Urdu,3,20.0
2025-07-31,Hindi,3,21.4
2025-07-31,Bengali,2,14.3
2025-07-31,Telugu,2,14.3
2025-07-31,Marathi,3,21.4
2025-07-31,Tamil,2,14.3
2025-07-31,Urdu,2,14.3
2025-07-30,Hindi,3,20.0
2025-07-30,Bengali,3,20.0
2025-07-30,Telugu,2,13.3
2025-07-30,Marathi,2,13.3
2025-07-30,Tamil,2,13.3
2025-07-30,Urdu,3,20.0
