ticket_id,call_id,ticket_number,query_type,status,created_datetime,resolved_datetime,assigned_to
560234,CALL1022,Ticket #560234,General Inquiry,Ticket generated,2025-09-22 13:35:20,,Support Team
560235,CALL1022,Ticket #560235,General Inquiry,Resolved,2025-09-22 13:35:20,2025-09-22 17:45:00,Support Team
560236,CALL1022,Ticket #560236,General Inquiry,Ticket generated,2025-09-22 13:35:20,,Support Team
560237,CALL1024,Ticket #560237,General Inquiry,Resolved,2025-09-21 15:25:15,2025-09-21 19:40:00,Support Team
560238,CALL1024,Ticket #560238,General Inquiry,Resolved,2025-09-21 15:25:15,2025-09-21 20:25:00,Support Team
560239,CALL1025,Ticket #560239,General Inquiry,Ticket generated,2025-09-20 08:35:30,,Support Team
560240,CALL1025,Ticket #560240,General Inquiry,Resolved,2025-09-20 08:35:30,2025-09-20 13:50:00,Support Team
560241,CALL1025,Ticket #560241,General Inquiry,Ticket generated,2025-09-20 08:35:30,,Support Team
560242,CALL1025,Ticket #560242,General Inquiry,Ticket generated,2025-09-20 08:35:30,,Support Team
560243,CALL1027,Ticket #560243,Technical Support,Resolved,2025-09-19 16:35:10,2025-09-19 20:50:00,Technical Team
560244,CALL1028,Ticket #560244,Billing Inquiry,Ticket generated,2025-09-18 10:50:25,,Billing Team
560245,CALL1028,Ticket #560245,Billing Inquiry,Resolved,2025-09-18 10:50:25,2025-09-18 15:35:00,Billing Team
560246,CALL1028,Ticket #560246,Billing Inquiry,Ticket generated,2025-09-18 10:50:25,,Billing Team
560247,CALL1030,Ticket #560247,General Inquiry,Resolved,2025-09-17 09:35:20,2025-09-17 14:20:00,Support Team
560248,CALL1030,Ticket #560248,General Inquiry,Resolved,2025-09-17 09:35:20,2025-09-17 15:45:00,Support Team
560249,CALL1031,Ticket #560249,Technical Support,Ticket generated,2025-09-16 13:50:15,,Technical Team
560250,CALL1031,Ticket #560250,Technical Support,Resolved,2025-09-16 13:50:15,2025-09-16 18:30:00,Technical Team
560251,CALL1031,Ticket #560251,Technical Support,Ticket generated,2025-09-16 13:50:15,,Technical Team
560252,CALL1031,Ticket #560252,Technical Support,Resolved,2025-09-16 13:50:15,2025-09-16 19:15:00,Technical Team
560253,CALL1031,Ticket #560253,Technical Support,Ticket generated,2025-09-16 13:50:15,,Technical Team
560254,CALL1032,Ticket #560254,General Inquiry,Ticket generated,2025-09-15 11:25:30,,Support Team
560255,CALL1033,Ticket #560255,General Inquiry,Resolved,2025-09-14 15:35:15,2025-09-14 19:50:00,Support Team
560256,CALL1033,Ticket #560256,General Inquiry,Resolved,2025-09-14 15:35:15,2025-09-14 20:35:00,Support Team
560257,CALL1033,Ticket #560257,General Inquiry,Resolved,2025-09-14 15:35:15,2025-09-14 21:20:00,Support Team
560258,CALL1034,Ticket #560258,Product Feedback,Ticket generated,2025-09-13 08:50:10,,Support Team
560259,CALL1034,Ticket #560259,Product Feedback,Resolved,2025-09-13 08:50:10,2025-09-13 13:25:00,Support Team
560260,CALL1036,Ticket #560260,General Inquiry,Resolved,2025-09-11 16:20:30,2025-09-11 20:45:00,Support Team
560261,CALL1036,Ticket #560261,General Inquiry,Resolved,2025-09-11 16:20:30,2025-09-11 21:30:00,Support Team
560262,CALL1036,Ticket #560262,General Inquiry,Resolved,2025-09-11 16:20:30,2025-09-11 22:15:00,Support Team
560263,CALL1036,Ticket #560263,General Inquiry,Resolved,2025-09-11 16:20:30,2025-09-12 08:40:00,Support Team
560264,CALL1037,Ticket #560264,General Inquiry,Ticket generated,2025-09-10 10:25:20,,Support Team
560265,CALL1039,Ticket #560265,General Inquiry,Resolved,2025-09-08 09:50:30,2025-09-08 14:35:00,Support Team
560266,CALL1039,Ticket #560266,General Inquiry,Resolved,2025-09-08 09:50:30,2025-09-08 15:20:00,Support Team
560267,CALL1039,Ticket #560267,General Inquiry,Resolved,2025-09-08 09:50:30,2025-09-08 16:45:00,Support Team
560268,CALL1040,Ticket #560268,Technical Support,Ticket generated,2025-09-07 13:25:15,,Technical Team
560269,CALL1040,Ticket #560269,Technical Support,Resolved,2025-09-07 13:25:15,2025-09-07 17:40:00,Technical Team
560270,CALL1042,Ticket #560270,General Inquiry,Resolved,2025-09-05 15:50:25,2025-09-05 20:15:00,Support Team
560271,CALL1042,Ticket #560271,General Inquiry,Resolved,2025-09-05 15:50:25,2025-09-05 21:30:00,Support Team
560272,CALL1042,Ticket #560272,General Inquiry,Resolved,2025-09-05 15:50:25,2025-09-06 08:45:00,Support Team
560273,CALL1042,Ticket #560273,General Inquiry,Resolved,2025-09-05 15:50:25,2025-09-06 09:20:00,Support Team
560274,CALL1042,Ticket #560274,General Inquiry,Resolved,2025-09-05 15:50:25,2025-09-06 10:35:00,Support Team
560275,CALL1043,Ticket #560275,General Inquiry,Ticket generated,2025-09-04 08:20:30,,Support Team
560276,CALL1044,Ticket #560276,Technical Support,Ticket generated,2025-09-03 12:35:15,,Technical Team
560277,CALL1044,Ticket #560277,Technical Support,Resolved,2025-09-03 12:35:15,2025-09-03 17:20:00,Technical Team
560278,CALL1044,Ticket #560278,Technical Support,Ticket generated,2025-09-03 12:35:15,,Technical Team
560279,CALL1044,Ticket #560279,Technical Support,Ticket generated,2025-09-03 12:35:15,,Technical Team
560280,CALL1045,Ticket #560280,General Inquiry,Resolved,2025-09-02 16:50:10,2025-09-02 20:25:00,Support Team
560281,CALL1045,Ticket #560281,General Inquiry,Resolved,2025-09-02 16:50:10,2025-09-02 21:40:00,Support Team
560282,CALL1046,Ticket #560282,General Inquiry,Ticket generated,2025-09-01 10:25:25,,Support Team
560283,CALL1046,Ticket #560283,General Inquiry,Resolved,2025-09-01 10:25:25,2025-09-01 15:10:00,Support Team
560284,CALL1046,Ticket #560284,General Inquiry,Ticket generated,2025-09-01 10:25:25,,Support Team
560285,CALL1048,Ticket #560285,General Inquiry,Resolved,2025-08-30 09:55:15,2025-08-30 14:30:00,Support Team
560286,CALL1049,Ticket #560286,General Inquiry,Ticket generated,2025-08-29 13:20:10,,Support Team
560287,CALL1049,Ticket #560287,General Inquiry,Resolved,2025-08-29 13:20:10,2025-08-29 18:35:00,Support Team
560288,CALL1049,Ticket #560288,General Inquiry,Ticket generated,2025-08-29 13:20:10,,Support Team
560289,CALL1049,Ticket #560289,General Inquiry,Ticket generated,2025-08-29 13:20:10,,Support Team
560290,CALL1051,Ticket #560290,General Inquiry,Resolved,2025-08-27 15:30:40,2025-08-27 19:45:00,Support Team
560291,CALL1051,Ticket #560291,General Inquiry,Resolved,2025-08-27 15:30:40,2025-08-27 20:20:00,Support Team
560292,CALL1052,Ticket #560292,General Inquiry,Ticket generated,2025-08-26 08:35:15,,Support Team
560293,CALL1052,Ticket #560293,General Inquiry,Resolved,2025-08-26 08:35:15,2025-08-26 13:50:00,Support Team
560294,CALL1052,Ticket #560294,General Inquiry,Ticket generated,2025-08-26 08:35:15,,Support Team
560295,CALL1052,Ticket #560295,General Inquiry,Resolved,2025-08-26 08:35:15,2025-08-26 14:25:00,Support Team
560296,CALL1052,Ticket #560296,General Inquiry,Ticket generated,2025-08-26 08:35:15,,Support Team
560297,CALL1054,Ticket #560297,Billing Inquiry,Resolved,2025-08-24 16:25:25,2025-08-24 20:40:00,Billing Team
560298,CALL1054,Ticket #560298,Billing Inquiry,Resolved,2025-08-24 16:25:25,2025-08-24 21:15:00,Billing Team
560299,CALL1054,Ticket #560299,Billing Inquiry,Resolved,2025-08-24 16:25:25,2025-08-25 08:30:00,Billing Team
560300,CALL1055,Ticket #560300,General Inquiry,Ticket generated,2025-08-23 10:40:30,,Support Team
560301,CALL1056,Ticket #560301,General Inquiry,Ticket generated,2025-08-22 14:55:15,,Support Team
560302,CALL1056,Ticket #560302,General Inquiry,Resolved,2025-08-22 14:55:15,2025-08-22 19:20:00,Support Team
560303,CALL1056,Ticket #560303,General Inquiry,Ticket generated,2025-08-22 14:55:15,,Support Team
560304,CALL1056,Ticket #560304,General Inquiry,Ticket generated,2025-08-22 14:55:15,,Support Team
560305,CALL1057,Ticket #560305,Technical Support,Resolved,2025-08-21 09:20:10,2025-08-21 13:35:00,Technical Team
560306,CALL1057,Ticket #560306,Technical Support,Resolved,2025-08-21 09:20:10,2025-08-21 14:50:00,Technical Team
560307,CALL1058,Ticket #560307,General Inquiry,Ticket generated,2025-08-20 13:35:25,,Support Team
560308,CALL1058,Ticket #560308,General Inquiry,Resolved,2025-08-20 13:35:25,2025-08-20 18:20:00,Support Team
560309,CALL1058,Ticket #560309,General Inquiry,Ticket generated,2025-08-20 13:35:25,,Support Team
560310,CALL1058,Ticket #560310,General Inquiry,Resolved,2025-08-20 13:35:25,2025-08-20 19:45:00,Support Team
560311,CALL1058,Ticket #560311,General Inquiry,Ticket generated,2025-08-20 13:35:25,,Support Team
560312,CALL1060,Ticket #560312,Product Feedback,Resolved,2025-08-18 15:25:15,2025-08-18 19:40:00,Support Team
560313,CALL1060,Ticket #560313,Product Feedback,Resolved,2025-08-18 15:25:15,2025-08-18 20:25:00,Support Team
560314,CALL1060,Ticket #560314,Product Feedback,Resolved,2025-08-18 15:25:15,2025-08-19 08:50:00,Support Team
560315,CALL1061,Ticket #560315,General Inquiry,Ticket generated,2025-08-17 08:40:10,,Support Team
560316,CALL1063,Ticket #560316,General Inquiry,Resolved,2025-08-15 16:20:40,2025-08-15 20:35:00,Support Team
560317,CALL1063,Ticket #560317,General Inquiry,Resolved,2025-08-15 16:20:40,2025-08-15 21:20:00,Support Team
560318,CALL1063,Ticket #560318,General Inquiry,Resolved,2025-08-15 16:20:40,2025-08-16 08:45:00,Support Team
560319,CALL1063,Ticket #560319,General Inquiry,Resolved,2025-08-15 16:20:40,2025-08-16 09:30:00,Support Team
560320,CALL1064,Ticket #560320,General Inquiry,Ticket generated,2025-08-14 10:35:15,,Support Team
560321,CALL1064,Ticket #560321,General Inquiry,Resolved,2025-08-14 10:35:15,2025-08-14 15:20:00,Support Team
560322,CALL1066,Ticket #560322,Technical Support,Resolved,2025-08-12 09:25:25,2025-08-12 14:40:00,Technical Team
560323,CALL1066,Ticket #560323,Technical Support,Resolved,2025-08-12 09:25:25,2025-08-12 15:55:00,Technical Team
560324,CALL1066,Ticket #560324,Technical Support,Resolved,2025-08-12 09:25:25,2025-08-12 16:30:00,Technical Team
560325,CALL1066,Ticket #560325,Technical Support,Resolved,2025-08-12 09:25:25,2025-08-12 17:45:00,Technical Team
560326,CALL1066,Ticket #560326,Technical Support,Resolved,2025-08-12 09:25:25,2025-08-12 18:20:00,Technical Team
560327,CALL1067,Ticket #560327,Billing Inquiry,Ticket generated,2025-08-11 13:40:30,,Billing Team
560328,CALL1067,Ticket #560328,Billing Inquiry,Resolved,2025-08-11 13:40:30,2025-08-11 18:25:00,Billing Team
560329,CALL1067,Ticket #560329,Billing Inquiry,Ticket generated,2025-08-11 13:40:30,,Billing Team
560330,CALL1068,Ticket #560330,General Inquiry,Ticket generated,2025-08-10 11:55:15,,Support Team
560331,CALL1069,Ticket #560331,General Inquiry,Resolved,2025-08-09 15:20:10,2025-08-09 19:35:00,Support Team
560332,CALL1069,Ticket #560332,General Inquiry,Resolved,2025-08-09 15:20:10,2025-08-09 20:50:00,Support Team
560333,CALL1069,Ticket #560333,General Inquiry,Resolved,2025-08-09 15:20:10,2025-08-10 08:15:00,Support Team
560334,CALL1069,Ticket #560334,General Inquiry,Resolved,2025-08-09 15:20:10,2025-08-10 09:40:00,Support Team
560335,CALL1070,Ticket #560335,Technical Support,Ticket generated,2025-08-08 08:45:25,,Technical Team
560336,CALL1070,Ticket #560336,Technical Support,Resolved,2025-08-08 08:45:25,2025-08-08 13:20:00,Technical Team
560337,CALL1072,Ticket #560337,General Inquiry,Resolved,2025-08-06 16:45:15,2025-08-06 20:30:00,Support Team
560338,CALL1072,Ticket #560338,General Inquiry,Resolved,2025-08-06 16:45:15,2025-08-06 21:45:00,Support Team
560339,CALL1072,Ticket #560339,General Inquiry,Resolved,2025-08-06 16:45:15,2025-08-07 08:20:00,Support Team
560340,CALL1073,Ticket #560340,Product Feedback,Ticket generated,2025-08-05 11:00:10,,Support Team
560341,CALL1075,Ticket #560341,General Inquiry,Resolved,2025-08-03 09:40:30,2025-08-03 14:25:00,Support Team
560342,CALL1075,Ticket #560342,General Inquiry,Resolved,2025-08-03 09:40:30,2025-08-03 15:40:00,Support Team
560343,CALL1075,Ticket #560343,General Inquiry,Resolved,2025-08-03 09:40:30,2025-08-03 16:55:00,Support Team
560344,CALL1075,Ticket #560344,General Inquiry,Resolved,2025-08-03 09:40:30,2025-08-03 17:30:00,Support Team
560345,CALL1075,Ticket #560345,General Inquiry,Resolved,2025-08-03 09:40:30,2025-08-03 18:45:00,Support Team
560346,CALL1076,Ticket #560346,General Inquiry,Ticket generated,2025-08-02 13:55:15,,Support Team
560347,CALL1076,Ticket #560347,General Inquiry,Resolved,2025-08-02 13:55:15,2025-08-02 18:20:00,Support Team
560348,CALL1078,Ticket #560348,General Inquiry,Resolved,2025-07-31 15:35:25,2025-07-31 19:50:00,Support Team
560349,CALL1078,Ticket #560349,General Inquiry,Resolved,2025-07-31 15:35:25,2025-07-31 20:35:00,Support Team
560350,CALL1078,Ticket #560350,General Inquiry,Resolved,2025-07-31 15:35:25,2025-08-01 08:40:00,Support Team
560351,CALL1078,Ticket #560351,General Inquiry,Resolved,2025-07-31 15:35:25,2025-08-01 09:25:00,Support Team
560352,CALL1079,Ticket #560352,Technical Support,Ticket generated,2025-07-30 08:50:30,,Technical Team
560353,CALL1079,Ticket #560353,Technical Support,Resolved,2025-07-30 08:50:30,2025-07-30 13:15:00,Technical Team
560354,CALL1079,Ticket #560354,Technical Support,Ticket generated,2025-07-30 08:50:30,,Technical Team
560355,CALL1080,Ticket #560355,Billing Inquiry,Ticket generated,2025-07-29 12:25:15,,Billing Team
560356,CALL1081,Ticket #560356,General Inquiry,Resolved,2025-07-28 16:40:10,2025-07-28 20:25:00,Support Team
560357,CALL1081,Ticket #560357,General Inquiry,Resolved,2025-07-28 16:40:10,2025-07-28 21:40:00,Support Team
560358,CALL1082,Ticket #560358,General Inquiry,Ticket generated,2025-07-27 10:55:25,,Support Team
560359,CALL1082,Ticket #560359,General Inquiry,Resolved,2025-07-27 10:55:25,2025-07-27 15:30:00,Support Team
560360,CALL1082,Ticket #560360,General Inquiry,Ticket generated,2025-07-27 10:55:25,,Support Team
560361,CALL1082,Ticket #560361,General Inquiry,Resolved,2025-07-27 10:55:25,2025-07-27 16:45:00,Support Team
560362,CALL1082,Ticket #560362,General Inquiry,Ticket generated,2025-07-27 10:55:25,,Support Team
560363,CALL1084,Ticket #560363,General Inquiry,Resolved,2025-07-25 09:45:15,2025-07-25 14:20:00,Support Team
560364,CALL1084,Ticket #560364,General Inquiry,Resolved,2025-07-25 09:45:15,2025-07-25 15:35:00,Support Team
560365,CALL1084,Ticket #560365,General Inquiry,Resolved,2025-07-25 09:45:15,2025-07-25 16:50:00,Support Team
560366,CALL1085,Ticket #560366,General Inquiry,Ticket generated,2025-07-24 13:30:10,,Support Team
560367,CALL1087,Ticket #560367,General Inquiry,Resolved,2025-07-22 16:00:30,2025-07-22 20:15:00,Support Team
560368,CALL1087,Ticket #560368,General Inquiry,Resolved,2025-07-22 16:00:30,2025-07-22 21:30:00,Support Team
560369,CALL1087,Ticket #560369,General Inquiry,Resolved,2025-07-22 16:00:30,2025-07-23 08:45:00,Support Team
560370,CALL1087,Ticket #560370,General Inquiry,Resolved,2025-07-22 16:00:30,2025-07-23 09:20:00,Support Team
560371,CALL1088,Ticket #560371,General Inquiry,Ticket generated,2025-07-21 08:25:15,,Support Team
560372,CALL1088,Ticket #560372,General Inquiry,Resolved,2025-07-21 08:25:15,2025-07-21 13:40:00,Support Team
560373,CALL1090,Ticket #560373,General Inquiry,Resolved,2025-07-19 16:55:25,2025-07-19 21:10:00,Support Team
560374,CALL1090,Ticket #560374,General Inquiry,Resolved,2025-07-19 16:55:25,2025-07-19 22:25:00,Support Team
560375,CALL1090,Ticket #560375,General Inquiry,Resolved,2025-07-19 16:55:25,2025-07-20 08:40:00,Support Team
560376,CALL1090,Ticket #560376,General Inquiry,Resolved,2025-07-19 16:55:25,2025-07-20 09:55:00,Support Team
560377,CALL1090,Ticket #560377,General Inquiry,Resolved,2025-07-19 16:55:25,2025-07-20 10:30:00,Support Team
560378,CALL1091,Ticket #560378,General Inquiry,Ticket generated,2025-07-18 10:20:30,,Support Team
560379,CALL1091,Ticket #560379,General Inquiry,Resolved,2025-07-18 10:20:30,2025-07-18 15:35:00,Support Team
560380,CALL1091,Ticket #560380,General Inquiry,Ticket generated,2025-07-18 10:20:30,,Support Team
560381,CALL1092,Ticket #560381,Technical Support,Ticket generated,2025-07-17 14:35:15,,Technical Team
560382,CALL1093,Ticket #560382,Billing Inquiry,Resolved,2025-07-16 09:50:10,2025-07-16 14:25:00,Billing Team
560383,CALL1093,Ticket #560383,Billing Inquiry,Resolved,2025-07-16 09:50:10,2025-07-16 15:40:00,Billing Team
560384,CALL1093,Ticket #560384,Billing Inquiry,Resolved,2025-07-16 09:50:10,2025-07-16 16:55:00,Billing Team
560385,CALL1093,Ticket #560385,Billing Inquiry,Resolved,2025-07-16 09:50:10,2025-07-16 17:30:00,Billing Team
560386,CALL1094,Ticket #560386,General Inquiry,Ticket generated,2025-07-15 13:25:25,,Support Team
560387,CALL1094,Ticket #560387,General Inquiry,Resolved,2025-07-15 13:25:25,2025-07-15 18:10:00,Support Team
560388,CALL1096,Ticket #560388,Technical Support,Resolved,2025-07-13 15:55:15,2025-07-13 20:20:00,Technical Team
560389,CALL1096,Ticket #560389,Technical Support,Resolved,2025-07-13 15:55:15,2025-07-13 21:35:00,Technical Team
560390,CALL1096,Ticket #560390,Technical Support,Resolved,2025-07-13 15:55:15,2025-07-14 08:50:00,Technical Team
560391,CALL1097,Ticket #560391,General Inquiry,Ticket generated,2025-07-12 08:20:10,,Support Team
560392,CALL1099,Ticket #560392,Product Feedback,Resolved,2025-07-10 16:50:30,2025-07-10 21:15:00,Support Team
560393,CALL1099,Ticket #560393,Product Feedback,Resolved,2025-07-10 16:50:30,2025-07-10 22:30:00,Support Team
560394,CALL1099,Ticket #560394,Product Feedback,Resolved,2025-07-10 16:50:30,2025-07-11 08:45:00,Support Team
560395,CALL1099,Ticket #560395,Product Feedback,Resolved,2025-07-10 16:50:30,2025-07-11 09:20:00,Support Team
560396,CALL1099,Ticket #560396,Product Feedback,Resolved,2025-07-10 16:50:30,2025-07-11 10:35:00,Support Team
560397,CALL1100,Ticket #560397,General Inquiry,Ticket generated,2025-07-09 10:25:15,,Support Team
560398,CALL1100,Ticket #560398,General Inquiry,Resolved,2025-07-09 10:25:15,2025-07-09 15:40:00,Support Team
560399,CALL1102,Ticket #560399,General Inquiry,Resolved,2025-06-29 09:55:25,2025-06-29 14:30:00,Support Team
560400,CALL1102,Ticket #560400,General Inquiry,Resolved,2025-06-29 09:55:25,2025-06-29 15:45:00,Support Team
560401,CALL1102,Ticket #560401,General Inquiry,Resolved,2025-06-29 09:55:25,2025-06-29 16:20:00,Support Team
560402,CALL1102,Ticket #560402,General Inquiry,Resolved,2025-06-29 09:55:25,2025-06-29 17:35:00,Support Team
560403,CALL1103,Ticket #560403,General Inquiry,Ticket generated,2025-06-28 13:20:30,,Support Team
560404,CALL1103,Ticket #560404,General Inquiry,Resolved,2025-06-28 13:20:30,2025-06-28 18:45:00,Support Team
560405,CALL1103,Ticket #560405,General Inquiry,Ticket generated,2025-06-28 13:20:30,,Support Team
560406,CALL1104,Ticket #560406,General Inquiry,Ticket generated,2025-06-27 11:45:15,,Support Team
560407,CALL1105,Ticket #560407,Technical Support,Resolved,2025-06-26 15:30:10,2025-06-26 19:45:00,Technical Team
560408,CALL1105,Ticket #560408,Technical Support,Resolved,2025-06-26 15:30:10,2025-06-26 20:20:00,Technical Team
560409,CALL1106,Ticket #560409,Billing Inquiry,Ticket generated,2025-06-25 08:55:25,,Billing Team
560410,CALL1106,Ticket #560410,Billing Inquiry,Resolved,2025-06-25 08:55:25,2025-06-25 13:30:00,Billing Team
560411,CALL1106,Ticket #560411,Billing Inquiry,Ticket generated,2025-06-25 08:55:25,,Billing Team
560412,CALL1106,Ticket #560412,Billing Inquiry,Resolved,2025-06-25 08:55:25,2025-06-25 14:45:00,Billing Team
560413,CALL1106,Ticket #560413,Billing Inquiry,Ticket generated,2025-06-25 08:55:25,,Billing Team
560414,CALL1108,Ticket #560414,General Inquiry,Resolved,2025-06-23 16:35:15,2025-06-23 20:50:00,Support Team
560415,CALL1108,Ticket #560415,General Inquiry,Resolved,2025-06-23 16:35:15,2025-06-23 21:25:00,Support Team
560416,CALL1108,Ticket #560416,General Inquiry,Resolved,2025-06-23 16:35:15,2025-06-24 08:40:00,Support Team
560417,CALL1109,Ticket #560417,Technical Support,Ticket generated,2025-06-22 10:50:10,,Technical Team
560418,CALL1111,Ticket #560418,General Inquiry,Resolved,2025-05-31 09:40:30,2025-05-31 14:25:00,Support Team
560419,CALL1111,Ticket #560419,General Inquiry,Resolved,2025-05-31 09:40:30,2025-05-31 15:40:00,Support Team
560420,CALL1111,Ticket #560420,General Inquiry,Resolved,2025-05-31 09:40:30,2025-05-31 16:55:00,Support Team
560421,CALL1111,Ticket #560421,General Inquiry,Resolved,2025-05-31 09:40:30,2025-05-31 17:30:00,Support Team
560422,CALL1112,Ticket #560422,Product Feedback,Ticket generated,2025-05-30 13:55:15,,Support Team
560423,CALL1112,Ticket #560423,Product Feedback,Resolved,2025-05-30 13:55:15,2025-05-30 18:20:00,Support Team
560424,CALL1114,Ticket #560424,General Inquiry,Resolved,2025-05-28 15:35:25,2025-05-28 19:50:00,Support Team
560425,CALL1114,Ticket #560425,General Inquiry,Resolved,2025-05-28 15:35:25,2025-05-28 20:35:00,Support Team
560426,CALL1114,Ticket #560426,General Inquiry,Resolved,2025-05-28 15:35:25,2025-05-29 08:40:00,Support Team
560427,CALL1114,Ticket #560427,General Inquiry,Resolved,2025-05-28 15:35:25,2025-05-29 09:25:00,Support Team
560428,CALL1114,Ticket #560428,General Inquiry,Resolved,2025-05-28 15:35:25,2025-05-29 10:50:00,Support Team
560429,CALL1115,Ticket #560429,General Inquiry,Ticket generated,2025-05-27 08:50:30,,Support Team
560430,CALL1115,Ticket #560430,General Inquiry,Resolved,2025-05-27 08:50:30,2025-05-27 13:15:00,Support Team
560431,CALL1115,Ticket #560431,General Inquiry,Ticket generated,2025-05-27 08:50:30,,Support Team
560432,CALL1116,Ticket #560432,General Inquiry,Ticket generated,2025-05-26 12:25:15,,Support Team
560433,CALL1117,Ticket #560433,General Inquiry,Resolved,2025-05-25 16:40:10,2025-05-25 20:55:00,Support Team
560434,CALL1117,Ticket #560434,General Inquiry,Resolved,2025-05-25 16:40:10,2025-05-25 21:30:00,Support Team
560435,CALL1117,Ticket #560435,General Inquiry,Resolved,2025-05-25 16:40:10,2025-05-26 08:45:00,Support Team
560436,CALL1117,Ticket #560436,General Inquiry,Resolved,2025-05-25 16:40:10,2025-05-26 09:20:00,Support Team
